   1 UMi  1 UMi alp   UMi   1
   2 UMi  2 UMi del   UMi  23
   3 UMi  3 UMi eps   UMi  22
   4 UMi  4 UMi gam   UMi  13
   5 UMi  5 UMi bet   UMi   7
   6 UMi  6 UMi eta   UMi  21
   7 UMi  7 UMi zet   UMi  16
   8 UMi~ 1 UMi a     UMi   5
   9 UMa  1 UMa omi   UMa   1
  10 UMa  2 UMa A     UMa   2
  11 UMa  3 UMa pi  1 UMa   3
            UMa pi  2 UMa   4
  12 UMa  4 UMa rho   UMa   8
  13 UMa  5 UMa sig 1 UMa  11
            UMa sig 2 UMa  13
  14 UMa  6 UMa d     UMa  24
  15 UMa  7 UMa tau   UMa  14
  16 UMa  8 UMa h     UMa  23
  17 UMa  9 UMa ups   UMa  29
  18 UMa 10 UMa phi   UMa  30
  19 UMa 11*
  20 UMa 12 UMa iot   UMa   9
            UMa the   UMa  25
  21 UMa 13 UMa kap   UMa  12
  22 UMa 14 UMa e     UMa  18
  23 UMa 15 UMa f     UMa  15
  24 UMa 16 UMa alp   UMa  50
  25 UMa 17 UMa bet   UMa  48
  26 UMa 18 UMa del   UMa  69
  27 UMa 19 UMa gam   UMa  64
  28 UMa 20 UMa lam   UMa  33
  29 UMa 21 UMa mu    UMa  34
  30 UMa 22 UMa psi   UMa  52
  31 UMa 23 UMa nu    UMa  54
  32 UMa 24 UMa xi    UMa  53
  33 UMa 25 UMa eps   UMa  77
  34 UMa 26 UMa zet   UMa  79
  35 UMa 27 UMa eta   UMa  85
  36 UMa~ 1*
  37 UMa~ 2*
  38 UMa~ 3*
  39 UMa~ 4*
  40 UMa~ 5*
  41 UMa~ 6 UMa n     UMa  10
  42 UMa~ 7*
  43 UMa~ 8*
  44 Dra  1 Dra mu    Dra  21
  45 Dra  2 Dra nu  1 Dra  24
            Dra nu  2 Dra  25
  46 Dra  3 Dra bet   Dra  23
  47 Dra  4 Dra xi    Dra  32
  48 Dra  5 Dra gam   Dra  33
  49 Dra  6 Dra b     Dra  39
  50 Dra  7 Dra c     Dra  46
  51 Dra  8 Dra d     Dra  45
  52 Dra  9 Dra omi   Dra  47
  53 Dra 10 Dra pi    Dra  58
  54 Dra 11 Dra del   Dra  57
  55 Dra 12 Dra eps   Dra  63
  56 Dra 13 Dra rho   Dra  67
  57 Dra 14 Dra sig   Dra  61
  58 Dra 15 Dra ups   Dra  52
  59 Dra 16 Dra tau   Dra  60
  60 Dra 17 Dra psi 1 Dra  31
  61 Dra 18 Dra phi   Dra  43
  62 Dra 19 Dra chi   Dra  44
  63 Dra 20 Dra ome   Dra  28
  64 Dra 21 Dra f     Dra  27
  65 Dra 22 Dra g     Dra  18
  66 Dra 23 Dra h     Dra  19
            Dra h     Dra  20
  67 Dra 24 Dra zet   Dra  22
  68 Dra 25 Dra eta   Dra  14
  69 Dra 26 Dra the   Dra  13
