   1 UMi  1 UMi alp
   2 UMi  2 UMi del
   3 UMi  3 UMi eps
   4 UMi  4 UMi zet
   5 UMi  5 UMi eta
   6 UMi  6 UMi bet
   7 UMi  7 UMi gam
   8 UMi~ 1           UMi   5
   9 UMa  1 UMa omi
  10 UMa  2 UMa A     UMa   2
  11 UMa  3 UMa pi  2
  12 UMa  4 UMa rho
  13 UMa  5 UMa sig 2
  14 UMa  6 UMa d     UMa  24
  15 UMa  7 UMa tau
  16 UMa  8 UMa h     UMa  23
  17 UMa  9 UMa ups
  18 UMa 10 UMa phi
  19 UMa 11 UMa the
  20 UMa 12 UMa iot
  21 UMa 13 UMa kap
  22 UMa 14 UMa e     UMa  18
  23 UMa 15 UMa f     UMa  15
  24 UMa 16 UMa alp
  25 UMa 17 UMa bet
  26 UMa 18 UMa del
  27 UMa 19 UMa gam
  28 UMa 20 UMa lam
  29 UMa 21 UMa mu
  30 UMa 22 UMa psi
  31 UMa 23 UMa nu
  32 UMa 24 UMa xi
  33 UMa 25 UMa eps
  34 UMa 26 UMa zet
  35 UMa 27 UMa eta
  36 UMa~ 1 CVn alp
  37 UMa~ 2 CVn bet
  38 UMa~ 3           Lyn  40
  39 UMa~ 4           Lyn  38
  40 UMa~ 5           LMi* 10
  41 UMa~ 6                               3809*
  42 UMa~ 7                               3612*
  43 UMa~ 8           Lyn  31
  44 Dra  1 Dra mu
  45 Dra  2 Dra nu
  46 Dra  3 Dra bet
  47 Dra  4 Dra xi
  48 Dra  5 Dra gam
  49 Dra  6 Dra b     Dra  39
  50 Dra  7 Dra c     Dra  46
  51 Dra  8 Dra d     Dra  45
  52 Dra  9 Dra omi
  53 Dra 10 Dra pi
  54 Dra 11 Dra del
  55 Dra 12 Dra eps
  56 Dra 13 Dra rho
  57 Dra 14 Dra sig
  58 Dra 15 Dra ups
  59 Dra 16 Dra tau
  60 Dra 17 Dra psi
  61 Dra 18 Dra chi
  62 Dra 19 Dra phi
  63 Dra 20 Dra f     Dra  27
  64 Dra 21 Dra ome
  65 Dra 22 Dra g     Dra  18
  66 Dra 23 Dra h     Dra  19
  67 Dra 24 Dra zet
  68 Dra 25 Dra eta
  69 Dra 26 Dra the
  70 Dra 27 Dra iot
  71 Dra 28 Dra i     Dra  10
  72 Dra 29 Dra alp
  73 Dra 30 Dra kap
  74 Dra 31 Dra lam
  75 Cep  1 Cep kap
  76 Cep  2 Cep gam
  77 Cep  3 Cep bet
  78 Cep  4 Cep alp
  79 Cep  5 Cep eta
  80 Cep  6 Cep the
  81 Cep  7 Cep xi
  82 Cep  8 Cep iot
  83 Cep  9 Cep eps
  84 Cep 10 Cep zet
  85 Cep 11 Cep lam
  86 Cep~ 1 Cep mu
  87 Cep~ 2 Cep del
  88 Boo  1 Boo kap
  89 Boo  2 Boo iot
  90 Boo  3 Boo the
  91 Boo  4 Boo lam
  92 Boo  5 Boo gam
  93 Boo  6 Boo bet
  94 Boo  7 Boo del
  95 Boo  8 Boo mu
  96 Boo  9 Boo nu
  97 Boo 10 CrB*eta
  98 Boo 11 CrB omi
  99 Boo 12 Boo*c     Boo* 45
 100 Boo 13 Boo*psi
 101 Boo 14 Boo*b     Boo* 46
 102 Boo 15 Boo*ome
 103 Boo 16 Boo eps
 104 Boo 17 Boo sig
 105 Boo 18 Boo rho
 106 Boo 19 Boo zet
 107 Boo 20 Boo eta
 108 Boo 21 Boo tau
 109 Boo 22 Boo ups
 110 Boo~ 1 Boo alp
 111 CrB  1 CrB alp
 112 CrB  2 CrB bet
 113 CrB  3 CrB the
 114 CrB  4 CrB pi
 115 CrB  5 CrB gam
 116 CrB  6 CrB del
 117 CrB  7 CrB eps
 118 CrB  8 CrB iot
 119 Her  1 Her alp
 120 Her  2 Her bet
 121 Her  3 Her gam
 122 Her  4 Her kap
 123 Her  5 Her del
 124 Her  6 Her lam
 125 Her  7 Her mu
 126 Her  8 Her omi
